City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Sumbe,AO,2022-03-28 04:48:53,-11.2061,13.8437,77.88,87,100,4.76
198,Karabanovo,RU,2022-03-28 04:48:53,56.3167,38.7,18.81,87,100,7.52
199,Shelburne,CA,2022-03-28 04:45:03,44.0787,-80.2041,14.45,88,37,13.65
200,Kayerkan,RU,2022-03-28 04:48:54,69.3497,87.7602,7.95,91,98,5.82
201,Saint-Louis,SN,2022-03-28 04:48:55,16.3333,-15.0,68.23,46,90,12.68
202,Obihiro,JP,2022-03-28 04:47:19,42.9172,143.2044,44.01,63,8,19.82
203,Asau,RO,2022-03-28 04:48:55,46.4333,26.4,22.12,56,9,3.8
204,Provideniya,RU,2022-03-28 04:48:56,64.3833,-173.3,21.31,68,0,2.24
205,Coquimbo,CL,2022-03-28 04:48:56,-29.9533,-71.3436,63.19,78,1,2.19
206,Nosy Varika,MG,2022-03-28 04:48:57,-20.5833,48.5333,79.61,79,55,3.87
207,Puro,PH,2022-03-28 04:48:57,12.4841,123.3827,86.67,63,31,12.8
208,Port Elizabeth,ZA,2022-03-28 04:48:58,-33.918,25.5701,63.32,99,0,4.61
209,Kamskiye Polyany,RU,2022-03-28 04:48:59,55.4307,51.4171,20.21,89,98,11.61
210,Mayumba,GA,2022-03-28 04:48:59,-3.432,10.6554,77.16,91,99,6.93
211,Kyabram,AU,2022-03-28 04:49:00,-36.3167,145.05,87.87,26,100,5.14
212,Santiago De Cao,PE,2022-03-28 04:49:00,-7.9589,-79.2392,68.13,83,95,4.61
213,Severo-Kurilsk,RU,2022-03-28 04:49:00,50.6789,156.125,32.7,93,97,25.99
214,Broome,US,2022-03-28 04:49:01,42.2506,-75.833,20.01,66,100,19.57
215,Kundiawa,PG,2022-03-28 04:49:01,-6.0167,144.9667,73.58,79,98,1.57
216,Waddan,LY,2022-03-28 04:49:02,29.1614,16.139,63.0,12,33,9.84
217,Yekaterinovka,RU,2022-03-28 04:49:03,52.0508,44.3451,19.18,89,100,15.14
218,Hanmer Springs,NZ,2022-03-28 04:49:03,-42.5167,172.8167,65.03,63,0,4.23
219,Tiksi,RU,2022-03-28 04:49:04,71.6872,128.8694,3.2,85,100,3.8
220,Wukari,NG,2022-03-28 04:49:04,7.85,9.7833,71.89,18,67,3.15
